Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,,
2000-01-03,23.909284591674805,29.53125,31.296875,27.90625,31.15625,98114800
2000-01-04,21.796661376953125,26.921875,29.65625,26.25,28.875,116824800
2000-01-05,20.645477294921875,25.5,26.59375,24.0,25.40625,166054000
2000-01-06,19.4310302734375,24.0,26.25,23.671875,25.0390625,109880000
2000-01-07,20.923784255981445,25.84375,25.875,23.390625,23.75,91755600
2000-01-10,23.428565979003906,28.9375,29.0,26.375,27.0,91518000
2000-01-11,22.745437622070312,28.09375,28.6875,27.375,28.15625,86585200
2000-01-12,21.379201889038086,26.40625,28.0625,25.921875,28.0625,83443600
2000-01-13,21.265338897705078,26.265625,27.46875,25.875,27.125,55779200
2000-01-14,21.619564056396484,26.703125,27.84375,26.1875,27.25,57078000
2000-01-18,22.51773452758789,27.8125,28.625,26.40625,26.96875,66780000
2000-01-19,23.12495994567871,28.5625,29.125,27.0,28.0625,49198400
2000-01-20,23.985179901123047,29.625,30.125,29.0625,29.5,54526800
2000-01-21,24.162290573120117,29.84375,30.75,29.5,30.75,50891000
2000-01-24,21.93581199645996,27.09375,30.1875,27.0,30.125,50022400
2000-01-25,22.846649169921875,28.21875,28.75,27.4375,27.53125,53059200
2000-01-26,22.290019989013672,27.53125,29.46875,27.5,28.375,47569200
2000-01-27,20.974380493164062,25.90625,28.34375,25.0,27.90625,61054000
2000-01-28,19.178022384643555,23.6875,25.96875,23.3125,25.75,86394000
2000-01-31,20.221691131591797,24.9765625,25.0625,23.53125,23.96875,68148000
2000-02-01,21.859909057617188,27.0,27.15625,25.0,25.625,57105600
2000-02-02,21.986417770385742,27.15625,28.0,27.0,27.46875,63933000
2000-02-03,22.947847366333008,28.34375,28.5,27.125,27.6875,55533200
2000-02-04,23.40325927734375,28.90625,29.125,28.40625,28.8125,40916000
2000-02-07,24.26349639892578,29.96875,30.0,29.4375,29.65625,44691200
2000-02-08,24.111684799194336,29.78125,30.71875,29.5,30.375,55718000
2000-02-09,24.26349639892578,29.96875,30.65625,29.40625,30.03125,52471600
2000-02-10,25.22492790222168,31.15625,31.3125,29.0,30.0,45288600
2000-02-11,24.162290573120117,29.84375,32.375,29.375,31.25,55774000
2000-02-14,25.174320220947266,31.09375,31.125,29.3125,30.4375,37599800
2000-02-15,24.84540557861328,30.6875,31.59375,29.5625,30.8125,47971400
2000-02-16,24.79480743408203,30.625,31.28125,30.0625,30.5,33489200
2000-02-17,24.946624755859375,30.8125,31.375,30.0,30.875,40392600
2000-02-18,23.706871032714844,29.28125,31.0,29.1875,30.84375,63888400
2000-02-22,24.010480880737305,29.65625,30.71875,28.15625,29.5625,75546200
2000-02-23,25.528532028198242,31.53125,31.6328125,29.8125,30.09375,69664400
2000-02-24,25.0731258392334,30.96875,32.53125,30.125,31.59375,70963200
2000-02-25,28.589933395385742,35.3125,35.5,30.9375,30.9375,103186600
2000-02-28,27.780302047729492,34.3125,38.25,34.125,35.625,122316600
2000-02-29,30.057376861572266,37.125,37.21875,35.5625,36.6875,55586400
2000-03-01,28.944129943847656,35.75,37.25,35.375,36.875,44934400
2000-03-02,27.729705810546875,34.25,36.78125,33.9375,36.75,52311000
2000-03-03,30.360980987548828,37.5,37.5625,35.0859375,35.5625,47974400
2000-03-06,30.664600372314453,37.875,38.46875,36.1875,37.40625,45520600
2000-03-07,30.335683822631836,37.46875,40.0,37.1875,38.3125,53982200
2000-03-08,33.65009307861328,41.5625,41.78125,37.5,38.6875,62781200
2000-03-09,34.00430679321289,42.0,42.5,40.0625,42.15625,56476400
2000-03-10,33.04286575317383,40.8125,42.03125,40.125,42.0,44699800
2000-03-13,31.87904167175293,39.375,41.8125,38.3984375,39.25,65803200
2000-03-14,31.170623779296875,38.5,41.875,38.25,40.9375,72364000
2000-03-15,31.82843589782715,39.3125,42.5,38.5,42.0,144810400
2000-03-16,33.16939163208008,40.96875,41.28125,38.34375,40.34375,95532400
2000-03-17,32.30915832519531,39.90625,41.0,39.75,40.875,66055200
2000-03-20,31.626018524169922,39.0625,40.3125,38.78125,40.25,47183600
2000-03-21,32.663352966308594,40.34375,40.4375,38.0,38.9375,52621400
2000-03-22,34.02960968017578,42.03125,42.1875,39.4375,40.5,53197600
2000-03-23,35.16815185546875,43.4375,44.0,41.28125,41.5625,50803800
2000-03-24,35.21875762939453,43.5,44.84375,43.21875,43.40625,52821600
2000-03-27,35.800682067871094,44.21875,44.65625,43.46875,44.53125,32597200
2000-03-28,35.04164505004883,43.28125,45.0,42.75,43.8125,36039200
2000-03-29,33.397098541259766,41.25,43.0625,41.03125,43.03125,51966200
2000-03-30,31.752525329589844,39.21875,42.25,39.0,39.25,70986000
2000-03-31,31.60072898864746,39.03125,40.78125,38.0,40.09375,79842000
2000-04-03,31.120006561279297,38.4375,40.3125,37.5,39.3125,71598000
2000-04-04,30.740507125854492,37.96875,39.0625,32.5390625,39.0625,123633800
2000-04-05,31.676624298095703,39.125,40.5,36.2734375,36.625,73736800
2000-04-06,33.27059555053711,41.09375,41.71875,40.0625,40.3125,62408200
2000-04-07,35.26935577392578,43.5625,43.625,41.5,41.84375,46764600
2000-04-10,33.397098541259766,41.25,43.8125,41.125,43.75,56241200
2000-04-11,31.322431564331055,38.6875,40.8125,38.40625,40.09375,70983800
2000-04-12,29.601974487304688,36.5625,40.0,36.46875,38.96875,67133000
2000-04-13,29.121252059936523,35.96875,38.75,35.875,37.4375,63206800
2000-04-14,25.300819396972656,31.25,35.640625,30.125,34.9609375,109951400
2000-04-17,30.285083770751953,37.40625,37.4375,30.0859375,30.25,115304800
2000-04-18,31.9549560546875,39.46875,39.53125,36.875,37.78125,78738800
